Titles,the_fork_ratings,the_fork_prices,the_fork_comments,Indirizzo,CAP,Città,lng,lat,nearest_reference,data_source
Al Filatoio,4.4/5,Prezzo medio 35€,92 recensioni,"Via Cavour, 4",24060,Sovere,10.02552685,45.82415622,pisogne,the_fork
Osteria - Antica Locanda la Tinara del Belvedere,4.8/5,Prezzo medio 35€,132 recensioni,"Via Madonnina, 8",23851,Galbiate,9.37443985,45.81434886,lecco,the_fork
Ponti Bistrot,4.4/5,Prezzo medio 16€,130 recensioni,"Piazza G. Garibaldi, 3",22035,Canzo,9.27350212,45.85003757,lecco,the_fork
Sargas,4.4/5,Prezzo medio 25€,22 recensioni,"Via Cinquantaquattresima Brigata Garibaldi, 4",25040,Cevo,10.37037619,46.08019094,corteno golgi,the_fork
Ristorante Il Poggio,4.6/5,Prezzo medio 35€,8 recensioni,"Via Panoramica, 4",23020,Poggiridenti,9.92865687,46.17586738,teglio,the_fork
Les Arcs,4.5/5,Prezzo medio 30€,155 recensioni,"Piazza San Vigilio, 59",38088,Spiazzo,10.73679917,46.10284998,ponte di legno,the_fork
Agriturismo Cazzuffi,4.3/5,Prezzo medio 22€,699 recensioni,"Loc.Pont,2",38024,Peio,10.68907789,46.35528769,ponte di legno,the_fork
La Pelosetta,4.7/5,Prezzo medio 35€,184 recensioni,"Via Guido Frizzoni, 6",24066,Pedrengo,9.7341355,45.69842976,selvino,the_fork
Il Forno dell'Oste,4.6/5,Prezzo medio 19€,189 recensioni,"Piazzale Caduti per la Libertà, 12",24068,Seriate,9.71764216,45.68353578,selvino,the_fork
Garlini al Baio,4.6/5,Prezzo medio 35€,258 recensioni,"Viale G. Zavaritt, 224",24020,Gorle,9.71877961,45.70242869,selvino,the_fork
Ristorante Hotel Londra,4.6/5,Prezzo medio 35€,114 recensioni,"Via Nazionale, 34",38018,Molveno,10.9662535,46.14288959,ponte di legno,the_fork
Sparkling Lounge Bar & Restaurant,4.8/5,Prezzo medio 38€,3 recensioni,"Viale Dolomiti di Brenta, 71",38086,Pinzolo,10.76660594,46.16001113,ponte di legno,the_fork
Da Sando Credaro,4.8/5,Prezzo medio 15€,85 recensioni,"Via degli Alpini, 3",24060,Credaro,9.92901266,45.65844869,selvino,the_fork
